,Number of occurrences,Fail Probability,event
0,15,10,bad_A
1,15,20,bad_A
2,34,30,bad_A
3,46,40,bad_A
4,66,50,bad_A
5,66,60,bad_A
6,93,70,bad_A
7,98,80,bad_A
8,121,90,bad_A
9,326,10,bad_B
10,328,20,bad_B
11,310,30,bad_B
12,313,40,bad_B
13,320,50,bad_B
14,306,60,bad_B
15,323,70,bad_B
16,322,80,bad_B
17,319,90,bad_B
18,110,10,good_A
19,118,20,good_A
20,93,30,good_A
21,100,40,good_A
22,72,50,good_A
23,71,60,good_A
24,46,70,good_A
25,36,80,good_A
26,17,90,good_A
27,49,10,good_B
28,39,20,good_B
29,63,30,good_B
30,41,40,good_B
31,42,50,good_B
32,57,60,good_B
33,38,70,good_B
34,44,80,good_B
35,43,90,good_B
36,4,10,redo_A
37,12,20,redo_A
38,14,30,redo_A
39,21,40,redo_A
40,23,50,redo_A
41,32,60,redo_A
42,30,70,redo_A
43,43,80,redo_A
44,50,90,redo_A
45,93,10,redo_B
46,93,20,redo_B
47,97,30,redo_B
48,87,40,redo_B
49,97,50,redo_B
50,100,60,redo_B
51,104,70,redo_B
52,89,80,redo_B
53,90,90,redo_B
