,Number of occurrences,Fail Probability,event
0,7,10,bad_A
1,6,20,bad_A
2,33,30,bad_A
3,25,40,bad_A
4,41,50,bad_A
5,53,60,bad_A
6,91,70,bad_A
7,136,80,bad_A
8,175,90,bad_A
9,195,10,bad_B
10,195,20,bad_B
11,204,30,bad_B
12,206,40,bad_B
13,228,50,bad_B
14,255,60,bad_B
15,221,70,bad_B
16,218,80,bad_B
17,220,90,bad_B
18,248,10,good_A
19,250,20,good_A
20,217,30,good_A
21,217,40,good_A
22,174,50,good_A
23,135,60,good_A
24,129,70,good_A
25,100,80,good_A
26,62,90,good_A
27,50,10,good_B
28,49,20,good_B
29,46,30,good_B
30,52,40,good_B
31,57,50,good_B
32,57,60,good_B
33,59,70,good_B
34,46,80,good_B
35,43,90,good_B
36,20,10,redo_A
37,51,20,redo_A
38,48,30,redo_A
39,117,40,redo_A
40,124,50,redo_A
41,152,60,redo_A
42,238,70,redo_A
43,267,80,redo_A
44,340,90,redo_A
45,217,10,redo_B
46,280,20,redo_B
47,310,30,redo_B
48,225,40,redo_B
49,248,50,redo_B
50,283,60,redo_B
51,296,70,redo_B
52,217,80,redo_B
53,235,90,redo_B
