,Number of occurrences,Fail Probability,event
0,9,10,bad_A
1,10,20,bad_A
2,8,30,bad_A
3,12,40,bad_A
4,3,50,bad_A
5,5,60,bad_A
6,8,70,bad_A
7,12,80,bad_A
8,28,90,bad_A
9,16,10,bad_B
10,13,20,bad_B
11,14,30,bad_B
12,25,40,bad_B
13,32,50,bad_B
14,21,60,bad_B
15,22,70,bad_B
16,23,80,bad_B
17,17,90,bad_B
18,91,10,good_A
19,108,20,good_A
20,25,30,good_A
21,76,40,good_A
22,13,50,good_A
23,32,60,good_A
24,25,70,good_A
25,4,80,good_A
26,12,90,good_A
27,384,10,good_B
28,369,20,good_B
29,453,30,good_B
30,387,40,good_B
31,452,50,good_B
32,442,60,good_B
33,445,70,good_B
34,461,80,good_B
35,443,90,good_B
36,5,10,redo_A
37,13,20,redo_A
38,9,30,redo_A
39,53,40,redo_A
40,7,50,redo_A
41,37,60,redo_A
42,35,70,redo_A
43,20,80,redo_A
44,45,90,redo_A
45,21,10,redo_B
46,24,20,redo_B
47,37,30,redo_B
48,10,40,redo_B
49,25,50,redo_B
50,34,60,redo_B
51,29,70,redo_B
52,28,80,redo_B
53,37,90,redo_B
