,Number of occurrences,Fail Probability,event
0,2,10,bad_A
1,8,20,bad_A
2,9,30,bad_A
3,19,40,bad_A
4,33,50,bad_A
5,42,60,bad_A
6,57,70,bad_A
7,77,80,bad_A
8,98,90,bad_A
9,29,10,bad_B
10,21,20,bad_B
11,26,30,bad_B
12,39,40,bad_B
13,26,50,bad_B
14,44,60,bad_B
15,38,70,bad_B
16,32,80,bad_B
17,37,90,bad_B
18,92,10,good_A
19,100,20,good_A
20,96,30,good_A
21,69,40,good_A
22,77,50,good_A
23,51,60,good_A
24,43,70,good_A
25,25,80,good_A
26,12,90,good_A
27,77,10,good_B
28,71,20,good_B
29,69,30,good_B
30,73,40,good_B
31,64,50,good_B
32,63,60,good_B
33,62,70,good_B
34,66,80,good_B
35,53,90,good_B
36,0,10,redo_A
37,0,20,redo_A
38,0,30,redo_A
39,0,40,redo_A
40,0,50,redo_A
41,0,60,redo_A
42,0,70,redo_A
43,0,80,redo_A
44,0,90,redo_A
45,0,10,redo_B
46,0,20,redo_B
47,0,30,redo_B
48,0,40,redo_B
49,0,50,redo_B
50,0,60,redo_B
51,0,70,redo_B
52,0,80,redo_B
53,0,90,redo_B
