,Number of occurrences,Fail Probability,event
0,7,10,bad_A
1,19,20,bad_A
2,19,30,bad_A
3,42,40,bad_A
4,47,50,bad_A
5,55,60,bad_A
6,80,70,bad_A
7,88,80,bad_A
8,107,90,bad_A
9,165,10,bad_B
10,170,20,bad_B
11,162,30,bad_B
12,162,40,bad_B
13,155,50,bad_B
14,149,60,bad_B
15,171,70,bad_B
16,175,80,bad_B
17,156,90,bad_B
18,126,10,good_A
19,118,20,good_A
20,109,30,good_A
21,72,40,good_A
22,74,50,good_A
23,66,60,good_A
24,50,70,good_A
25,28,80,good_A
26,17,90,good_A
27,202,10,good_B
28,193,20,good_B
29,210,30,good_B
30,224,40,good_B
31,224,50,good_B
32,230,60,good_B
33,199,70,good_B
34,209,80,good_B
35,220,90,good_B
36,7,10,redo_A
37,4,20,redo_A
38,17,30,redo_A
39,17,40,redo_A
40,15,50,redo_A
41,19,60,redo_A
42,29,70,redo_A
43,37,80,redo_A
44,36,90,redo_A
45,45,10,redo_B
46,58,20,redo_B
47,53,30,redo_B
48,39,40,redo_B
49,47,50,redo_B
50,53,60,redo_B
51,37,70,redo_B
52,57,80,redo_B
53,58,90,redo_B
