,Number of occurrences,Fail Probability,event
0,14,10,bad_A
1,0,20,bad_A
2,0,30,bad_A
3,0,40,bad_A
4,0,50,bad_A
5,0,60,bad_A
6,0,70,bad_A
7,0,80,bad_A
8,0,90,bad_A
9,0,10,bad_B
10,0,20,bad_B
11,0,30,bad_B
12,0,40,bad_B
13,0,50,bad_B
14,0,60,bad_B
15,0,70,bad_B
16,104,80,bad_B
17,0,90,bad_B
18,186,10,good_A
19,200,20,good_A
20,200,30,good_A
21,200,40,good_A
22,0,50,good_A
23,0,60,good_A
24,0,70,good_A
25,0,80,good_A
26,0,90,good_A
27,0,10,good_B
28,0,20,good_B
29,0,30,good_B
30,0,40,good_B
31,200,50,good_B
32,200,60,good_B
33,200,70,good_B
34,96,80,good_B
35,200,90,good_B
36,0,10,redo_A
37,0,20,redo_A
38,0,30,redo_A
39,0,40,redo_A
40,0,50,redo_A
41,0,60,redo_A
42,0,70,redo_A
43,0,80,redo_A
44,0,90,redo_A
45,0,10,redo_B
46,0,20,redo_B
47,0,30,redo_B
48,0,40,redo_B
49,0,50,redo_B
50,0,60,redo_B
51,0,70,redo_B
52,0,80,redo_B
53,0,90,redo_B
