,Number of Occurrences,Rejection Type 1 Probability,Event,Method
0,1,10.0,redo_A,Supervisory+RL
1,1,10.0,redo_A,Supervisory
2,2,20.0,redo_A,Supervisory+RL
3,11,20.0,redo_A,Supervisory
4,36,30.0,redo_A,Supervisory+RL
5,10,30.0,redo_A,Supervisory
6,33,40.0,redo_A,Supervisory+RL
7,25,40.0,redo_A,Supervisory
8,37,50.0,redo_A,Supervisory+RL
9,21,50.0,redo_A,Supervisory
10,34,60.0,redo_A,Supervisory+RL
11,24,60.0,redo_A,Supervisory
12,22,70.0,redo_A,Supervisory+RL
13,38,70.0,redo_A,Supervisory
14,39,80.0,redo_A,Supervisory+RL
15,45,80.0,redo_A,Supervisory
16,0,90.0,redo_A,Supervisory+RL
17,52,90.0,redo_A,Supervisory
18,17,10.0,redo_B,Supervisory+RL
19,9,10.0,redo_B,Supervisory
20,35,20.0,redo_B,Supervisory+RL
21,9,20.0,redo_B,Supervisory
22,30,30.0,redo_B,Supervisory+RL
23,12,30.0,redo_B,Supervisory
24,21,40.0,redo_B,Supervisory+RL
25,10,40.0,redo_B,Supervisory
26,19,50.0,redo_B,Supervisory+RL
27,9,50.0,redo_B,Supervisory
28,31,60.0,redo_B,Supervisory+RL
29,14,60.0,redo_B,Supervisory
30,28,70.0,redo_B,Supervisory+RL
31,7,70.0,redo_B,Supervisory
32,37,80.0,redo_B,Supervisory+RL
33,5,80.0,redo_B,Supervisory
34,37,90.0,redo_B,Supervisory+RL
35,6,90.0,redo_B,Supervisory
